variable_name,question_text,source,module_type,toggle_category,historical_toggle_category,ri_threshold_score,keywords,n_keywords,word_count,complexity,Ui,Bi,Ri,selected_for_module,selected,minutes,Pi,augmented_utility,idf_strength,redundancy_penalty,construct_bonus,portability_bonus,construct_count,recommended_wording,keyword_list,tagged_keywords,constructs
SPC_DISASTER_OFTEN_BEEN_BOTHERED_6,"Since Katrina and Rita, how often have you been bothered by trouble concentrating on things?",Hurricane Katrina 2007,Crisis-Specific,Specific,Toggle: Pandemic / Disaster,0.05,"['concentrating', 'katrina', 'rita', 'things', 'trouble']",5,15,1.0,1.8,1.7,1.059,False,False,1.75,0.942,1.927,3.016,0.313,2.146,0.02,1,"Since the disaster, how often have you been bothered by trouble concentrating on things?","['concentrating', 'katrina', 'rita', 'things', 'trouble']","[{'keyword': 'katrina', 'construct': 'Trauma / Health', 'weight': 0.9}, {'keyword': 'rita', 'construct': 'Trauma / Health', 'weight': 0.9}]",['Trauma / Health']
SPC_OVERALL_WOULD_RATE_IMPACT,Overall how would you rate the impact of Katrina or Rita on your family?,Hurricane Katrina 2007,Crisis-Specific,Specific,Toggle: Pandemic / Disaster,0.096,"['family', 'impact', 'katrina', 'overall', 'rate', 'rita', 'your family']",7,14,0.0,1.8,1.4,1.286,False,False,1.633,1.373,2.09,3.441,0.134,2.146,0.02,1,Overall how would you rate the impact of the disaster on your family?,"['family', 'impact', 'katrina', 'overall', 'rate', 'rita', 'your family']","[{'keyword': 'katrina', 'construct': 'Trauma / Health', 'weight': 0.9}, {'keyword': 'rita', 'construct': 'Trauma / Health', 'weight': 0.9}]",['Trauma / Health']
SPC_BEEN_ABLE_RETURN_ORIGINAL,Have you been able to return to your original home?,Hurricane Katrina 2007,Crisis-Specific,Specific,Toggle: Pandemic / Disaster,0.007,"['able', 'home', 'original home', 'return', 'you']",5,10,0.0,0.85,1.0,0.85,False,False,1.167,1.137,1.234,4.098,0.132,8.059,0.08,1,Have you been able to return to your original home?,"['able', 'home', 'original home', 'return', 'you']","[{'keyword': 'original home', 'construct': 'Housing / Shelter', 'weight': 0.85}]",['Housing / Shelter']
SPC_AGE_YEARS,Calculate respondents age,Understanding Society,Generic,Specific,Generic Core,0.175,"['age', 'calculate respondent', 'respondent']",3,3,0.0,0.5,0.3,1.667,True,True,0.35,2.725,0.818,4.277,0.0,17.553,0.08,1,What is your age in years?,"['age', 'calculate respondent', 'respondent']","[{'keyword': 'age', 'construct': 'Demographics', 'weight': 0.5}]",['Demographics']
SPC_DISASTER_OFTEN_BEEN_BOTHERED_7,"Since Katrina and Rita, how often have you been bothered by trouble falling or staying asleep or sleeping too much?",Hurricane Katrina 2007,Crisis-Specific,Specific,Toggle: Pandemic / Disaster,0.0,"['asleep', 'falling', 'katrina', 'rita', 'sleeping', 'staying asleep', 'trouble']",7,20,1.0,1.8,2.2,0.818,False,False,2.333,0.783,2.074,3.398,0.313,2.146,0.02,1,"Since the disaster, how often have you been bothered by trouble falling or staying asleep or sleeping too much?","['asleep', 'falling', 'katrina', 'rita', 'sleeping', 'staying asleep', 'trouble']","[{'keyword': 'katrina', 'construct': 'Trauma / Health', 'weight': 0.9}, {'keyword': 'rita', 'construct': 'Trauma / Health', 'weight': 0.9}]",['Trauma / Health']
SPC_MANY_DAYS_WITHOUT_ELECTRICITY,How many days were you without electricity after Katrina or Rita?,Hurricane Katrina 2007,Crisis-Specific,Specific,Toggle: Pandemic / Disaster,0.169,"['days', 'electricity', 'katrina', 'many days', 'rita', 'without electricity', 'you']",7,11,0.0,1.8,1.1,1.636,False,False,1.283,1.521,1.922,3.005,0.229,2.146,0.02,1,How many days were you without electricity after the disaster?,"['days', 'electricity', 'katrina', 'many days', 'rita', 'without electricity', 'you']","[{'keyword': 'katrina', 'construct': 'Trauma / Health', 'weight': 0.9}, {'keyword': 'rita', 'construct': 'Trauma / Health', 'weight': 0.9}]",['Trauma / Health']
SPC_MANY_DAYS_WITHOUT_RUNNING,How many days were you without running water after Katrina or Rita?,Hurricane Katrina 2007,Crisis-Specific,Specific,Toggle: Pandemic / Disaster,0.169,"['days', 'katrina', 'many days', 'rita', 'running water', 'water', 'you']",7,11,0.0,1.8,1.1,1.636,False,False,1.283,1.607,2.031,3.288,0.229,2.146,0.02,1,How many days were you without running water after the disaster?,"['days', 'katrina', 'many days', 'rita', 'running water', 'water', 'you']","[{'keyword': 'katrina', 'construct': 'Trauma / Health', 'weight': 0.9}, {'keyword': 'rita', 'construct': 'Trauma / Health', 'weight': 0.9}]",['Trauma / Health']
SPC_RECEIVE_HELP_FEMA_FEDERAL,Did you receive any help from FEMA Federal Emergency Management Agency?,Hurricane Katrina 2007,Crisis-Specific,Specific,Toggle: Pandemic / Disaster,0.206,"['any help', 'emergency management agency', 'federal emergency', 'fema', 'receive']",5,11,0.0,2.0,1.1,1.818,True,True,1.283,2.027,2.727,3.971,0.343,7.989,0.02,1,Did you receive any help from FEMA Federal Emergency Management Agency?,"['any help', 'emergency management agency', 'federal emergency', 'fema', 'receive']","[{'keyword': 'emergency management agency', 'construct': 'Government Aid', 'weight': 0.7}, {'keyword': 'federal emergency', 'construct': 'Government Aid', 'weight': 0.6}, {'keyword': 'fema', 'construct': 'Government Aid', 'weight': 0.7}]",['Government Aid']
SPC_DISASTER_BEEN_WORRYING_TOO,"Since Katrina and Rita, have you been worrying too much about different things?",Hurricane Katrina 2007,Crisis-Specific,Specific,Toggle: Pandemic / Disaster,0.079,"['different things', 'katrina', 'rita', 'things', 'worrying']",5,13,1.0,1.8,1.5,1.2,False,False,1.517,1.186,1.984,3.166,0.178,2.146,0.02,1,"Since the disaster, have you been worrying too much about different things?","['different things', 'katrina', 'rita', 'things', 'worrying']","[{'keyword': 'katrina', 'construct': 'Trauma / Health', 'weight': 0.9}, {'keyword': 'rita', 'construct': 'Trauma / Health', 'weight': 0.9}]",['Trauma / Health']
SPC_MOVE_DIFFERENT_CITY_STATE,Did you have to move to a different city or state because of Katrina or Rita?,Hurricane Katrina 2007,Crisis-Specific,Specific,Toggle: Pandemic / Disaster,0.079,"['city', 'different city', 'katrina', 'move', 'rita', 'state', 'you']",7,15,0.0,1.8,1.5,1.2,False,False,1.75,1.22,2.041,3.313,0.178,2.146,0.02,1,Did you have to move to a different city or state because of the disaster?,"['city', 'different city', 'katrina', 'move', 'rita', 'state', 'you']","[{'keyword': 'katrina', 'construct': 'Trauma / Health', 'weight': 0.9}, {'keyword': 'rita', 'construct': 'Trauma / Health', 'weight': 0.9}]",['Trauma / Health']
SPC_DISASTER_OFTEN_BEEN_BOTHERED_8,"Since Katrina and Rita, how often have you been bothered by feeling tired or having little energy?",Hurricane Katrina 2007,Crisis-Specific,Specific,Toggle: Pandemic / Disaster,0.027,"['energy', 'feeling tired', 'katrina', 'little energy', 'rita', 'tired']",6,17,1.0,1.8,1.9,0.947,False,False,1.983,0.877,2.056,3.352,0.36,2.146,0.02,1,"Since the disaster, how often have you been bothered by feeling tired or having little energy?","['energy', 'feeling tired', 'katrina', 'little energy', 'rita', 'tired']","[{'keyword': 'katrina', 'construct': 'Trauma / Health', 'weight': 0.9}, {'keyword': 'rita', 'construct': 'Trauma / Health', 'weight': 0.9}]",['Trauma / Health']
SPC_DISASTER_OFTEN_BEEN_BOTHERED_9,"Since Katrina and Rita, how often have you been bothered by moving or speaking slowly or being restless?",Hurricane Katrina 2007,Crisis-Specific,Specific,Toggle: Pandemic / Disaster,0.027,"['being restless', 'katrina', 'moving', 'restless', 'rita', 'slowly', 'speaking']",7,17,1.0,1.8,1.9,0.947,False,False,1.983,0.979,2.054,3.348,0.161,2.146,0.02,1,"Since the disaster, how often have you been bothered by moving or speaking slowly or being restless?","['being restless', 'katrina', 'moving', 'restless', 'rita', 'slowly', 'speaking']","[{'keyword': 'katrina', 'construct': 'Trauma / Health', 'weight': 0.9}, {'keyword': 'rita', 'construct': 'Trauma / Health', 'weight': 0.9}]",['Trauma / Health']
SPC_RECEIVE_HELP_OTHER_GOVERNMENT,Did you receive help from other government agencies or nonprofit organizations?,Hurricane Katrina 2007,Crisis-Specific,Specific,Toggle: Pandemic / Disaster,0.056,"['agencies', 'government agencies', 'help', 'nonprofit organizations', 'other government', 'receive']",6,11,0.0,1.2,1.1,1.091,False,False,1.283,1.312,1.704,3.955,0.278,7.989,0.08,1,Did you receive help from other government agencies or nonprofit organizations?,"['agencies', 'government agencies', 'help', 'nonprofit organizations', 'other government', 'receive']","[{'keyword': 'government agencies', 'construct': 'Government Aid', 'weight': 0.6}, {'keyword': 'other government', 'construct': 'Government Aid', 'weight': 0.6}]",['Government Aid']
SPC_DESCRIBE_SEX_GENDER,And are you... 1. Male 2. Female,Understanding Society,Generic,Specific,Generic Core,0.084,"['... 1', '1. male', 'female', 'male 2', 'you']",5,7,2.0,1.35,1.1,1.227,True,True,0.817,1.933,2.127,4.277,0.0,17.553,0.02,1,How do you describe your sex or gender?,"['... 1', '1. male', 'female', 'male 2', 'you']","[{'keyword': '1. male', 'construct': 'Demographics', 'weight': 0.45}, {'keyword': 'female', 'construct': 'Demographics', 'weight': 0.45}, {'keyword': 'male 2', 'construct': 'Demographics', 'weight': 0.45}]",['Demographics']
